,duration,entry_mode,has_path,source,start_time,total_calories,total_distance,tracking_mode,type,uri,utc_offset,month,month_index,year
230,35.27,API,True,RunKeeper,"Wed, 11 Oct 2017 15:40:23",261,7955.04,outdoor,Cycling,/fitnessActivities/1068806822,-3,0,10,2017
231,22.97,API,True,RunKeeper,"Wed, 11 Oct 2017 07:48:21",192,7916.46,outdoor,Cycling,/fitnessActivities/1068573679,-3,0,10,2017
232,27.9,API,True,RunKeeper,"Tue, 10 Oct 2017 13:55:20",214,7659.15,outdoor,Cycling,/fitnessActivities/1068253335,-3,0,10,2017
233,27.62,API,True,RunKeeper,"Tue, 10 Oct 2017 07:46:52",214,8024.84,outdoor,Cycling,/fitnessActivities/1068026445,-3,0,10,2017
234,35.15,API,True,RunKeeper,"Fri, 6 Oct 2017 14:28:20",231,7360.42,outdoor,Cycling,/fitnessActivities/1068026439,-3,0,10,2017
235,28.08,API,True,RunKeeper,"Fri, 6 Oct 2017 07:44:10",205,7983.14,outdoor,Cycling,/fitnessActivities/1065849625,-3,0,10,2017
236,44.23,API,True,RunKeeper,"Fri, 29 Sep 2017 14:24:30",400,7101.18,outdoor,Cycling,/fitnessActivities/1068026435,-3,Sep,9,2017
237,25.15,API,True,RunKeeper,"Fri, 29 Sep 2017 07:32:37",194,7880.18,outdoor,Cycling,/fitnessActivities/1068026429,-3,Sep,9,2017
238,32.47,API,True,RunKeeper,"Thu, 28 Sep 2017 16:05:26",231,8140.39,outdoor,Cycling,/fitnessActivities/1061507270,-3,Sep,9,2017
239,26.72,API,True,RunKeeper,"Thu, 28 Sep 2017 07:45:08",218,8115.68,outdoor,Cycling,/fitnessActivities/1061507264,-3,Sep,9,2017
240,33.32,API,True,RunKeeper,"Wed, 27 Sep 2017 14:04:36",246,8361.27,outdoor,Cycling,/fitnessActivities/1061045465,-3,Sep,9,2017
241,24.8,API,True,RunKeeper,"Wed, 27 Sep 2017 07:42:32",201,7965.09,outdoor,Cycling,/fitnessActivities/1060744762,-3,Sep,9,2017
242,34.57,API,True,RunKeeper,"Tue, 26 Sep 2017 14:29:34",286,8693.0,outdoor,Cycling,/fitnessActivities/1060396566,-3,Sep,9,2017
243,60.92,API,True,RunKeeper,"Tue, 26 Sep 2017 07:25:58",364,8150.62,outdoor,Cycling,/fitnessActivities/1060396556,-3,Sep,9,2017
244,28.32,API,True,RunKeeper,"Fri, 22 Sep 2017 14:31:00",208,7052.05,outdoor,Cycling,/fitnessActivities/1058162517,-3,Sep,9,2017
245,22.9,API,True,RunKeeper,"Fri, 22 Sep 2017 07:52:58",202,7903.37,outdoor,Cycling,/fitnessActivities/1057945018,-3,Sep,9,2017
246,36.28,API,True,RunKeeper,"Wed, 20 Sep 2017 14:18:57",285,10482.34,outdoor,Cycling,/fitnessActivities/1058162515,-3,Sep,9,2017
247,26.15,API,True,RunKeeper,"Wed, 20 Sep 2017 07:33:19",222,7924.01,outdoor,Cycling,/fitnessActivities/1056912214,-3,Sep,9,2017
248,29.22,API,True,RunKeeper,"Tue, 19 Sep 2017 14:13:59",226,8247.35,outdoor,Cycling,/fitnessActivities/1056545922,-3,Sep,9,2017
249,23.6,API,True,RunKeeper,"Tue, 19 Sep 2017 07:20:39",204,7937.07,outdoor,Cycling,/fitnessActivities/1056341632,-3,Sep,9,2017
250,27.82,API,True,RunKeeper,"Mon, 18 Sep 2017 06:27:10",457,5783.25,outdoor,Running,/fitnessActivities/1055782279,-3,Sep,9,2017
251,22.17,API,True,RunKeeper,"Sat, 16 Sep 2017 22:07:03",180,6671.66,outdoor,Cycling,/fitnessActivities/1055246600,-3,Sep,9,2017
252,24.92,API,True,RunKeeper,"Sat, 16 Sep 2017 13:14:29",228,8401.43,outdoor,Cycling,/fitnessActivities/1055246595,-3,Sep,9,2017
253,135.92,API,True,RunKeeper,"Fri, 15 Sep 2017 13:23:04",797,18150.76,outdoor,Cycling,/fitnessActivities/1055246585,-3,Sep,9,2017
254,26.22,API,True,RunKeeper,"Fri, 15 Sep 2017 07:37:58",209,7928.26,outdoor,Cycling,/fitnessActivities/1054200816,-3,Sep,9,2017
255,34.57,API,True,RunKeeper,"Thu, 14 Sep 2017 13:18:26",233,7952.29,outdoor,Cycling,/fitnessActivities/1053847558,-3,Sep,9,2017
256,25.9,API,True,RunKeeper,"Thu, 14 Sep 2017 07:46:14",198,7878.01,outdoor,Cycling,/fitnessActivities/1053687950,-3,Sep,9,2017
257,36.27,API,True,RunKeeper,"Wed, 13 Sep 2017 13:37:50",251,8162.06,outdoor,Cycling,/fitnessActivities/1053369769,-3,Sep,9,2017
258,24.38,API,True,RunKeeper,"Wed, 13 Sep 2017 07:39:10",191,7914.94,outdoor,Cycling,/fitnessActivities/1053161139,-3,Sep,9,2017
259,32.53,API,True,RunKeeper,"Tue, 12 Sep 2017 13:53:22",236,8220.29,outdoor,Cycling,/fitnessActivities/1052871719,-3,Sep,9,2017
260,24.67,API,True,RunKeeper,"Tue, 12 Sep 2017 07:40:10",206,8027.94,outdoor,Cycling,/fitnessActivities/1052597230,-3,Sep,9,2017
261,29.6,API,True,RunKeeper,"Mon, 11 Sep 2017 06:14:16",459,5760.32,outdoor,Running,/fitnessActivities/1052043627,-3,Sep,9,2017
262,121.9,API,True,RunKeeper,"Sun, 10 Sep 2017 08:16:57",401,6383.63,outdoor,Walking,/fitnessActivities/1051735588,-3,Sep,9,2017
263,33.02,API,True,RunKeeper,"Wed, 6 Sep 2017 13:58:49",236,8231.48,outdoor,Cycling,/fitnessActivities/1049565341,-3,Sep,9,2017
264,24.08,API,True,RunKeeper,"Wed, 6 Sep 2017 07:37:41",191,7921.16,outdoor,Cycling,/fitnessActivities/1049388994,-3,Sep,9,2017
265,32.23,API,True,RunKeeper,"Tue, 5 Sep 2017 14:14:24",239,8246.57,outdoor,Cycling,/fitnessActivities/1049085927,-3,Sep,9,2017
266,22.88,API,True,RunKeeper,"Tue, 5 Sep 2017 07:43:24",184,7994.61,outdoor,Cycling,/fitnessActivities/1048829918,-3,Sep,9,2017
267,34.23,API,True,RunKeeper,"Fri, 1 Sep 2017 14:31:13",237,7100.78,outdoor,Cycling,/fitnessActivities/1046855057,-3,Sep,9,2017
268,27.03,API,True,RunKeeper,"Fri, 1 Sep 2017 07:29:17",203,7946.54,outdoor,Cycling,/fitnessActivities/1046611985,-3,Sep,9,2017
269,31.23,API,True,RunKeeper,"Thu, 31 Aug 2017 13:50:41",230,8213.18,outdoor,Cycling,/fitnessActivities/1046296571,-3,Aug,8,2017
270,24.43,API,True,RunKeeper,"Thu, 31 Aug 2017 07:37:45",189,7743.0,outdoor,Cycling,/fitnessActivities/1046117708,-3,Aug,8,2017
271,25.27,API,True,RunKeeper,"Tue, 29 Aug 2017 13:45:54",192,7152.97,outdoor,Cycling,/fitnessActivities/1046296564,-3,Aug,8,2017
272,28.27,API,True,RunKeeper,"Tue, 29 Aug 2017 07:25:08",209,7942.68,outdoor,Cycling,/fitnessActivities/1044983699,-3,Aug,8,2017
273,90.73,API,True,RunKeeper,"Mon, 28 Aug 2017 11:17:17",516,6860.29,outdoor,Cycling,/fitnessActivities/1044520452,-3,Aug,8,2017
274,27.43,API,True,RunKeeper,"Fri, 25 Aug 2017 14:09:39",197,7117.61,outdoor,Cycling,/fitnessActivities/1044520443,-3,Aug,8,2017
275,22.82,API,True,RunKeeper,"Fri, 25 Aug 2017 07:33:33",195,7989.06,outdoor,Cycling,/fitnessActivities/1042701391,-3,Aug,8,2017
276,31.87,API,True,RunKeeper,"Thu, 24 Aug 2017 14:08:46",232,8224.23,outdoor,Cycling,/fitnessActivities/1042332861,-3,Aug,8,2017
277,24.72,API,True,RunKeeper,"Thu, 24 Aug 2017 07:36:56",194,7954.33,outdoor,Cycling,/fitnessActivities/1042127475,-3,Aug,8,2017
278,27.3,API,True,RunKeeper,"Wed, 23 Aug 2017 13:54:08",196,7126.93,outdoor,Cycling,/fitnessActivities/1041795794,-3,Aug,8,2017
279,21.8,API,True,RunKeeper,"Wed, 23 Aug 2017 07:48:11",198,7891.27,outdoor,Cycling,/fitnessActivities/1041520088,-3,Aug,8,2017
280,35.32,API,True,RunKeeper,"Tue, 22 Aug 2017 13:57:54",248,8278.79,outdoor,Cycling,/fitnessActivities/1041098810,-3,Aug,8,2017
281,24.08,API,True,RunKeeper,"Tue, 22 Aug 2017 07:42:44",185,7848.57,outdoor,Cycling,/fitnessActivities/1040883010,-3,Aug,8,2017
282,46.85,API,True,RunKeeper,"Thu, 17 Aug 2017 13:59:45",265,7542.95,outdoor,Cycling,/fitnessActivities/1040883004,-3,Aug,8,2017
283,25.38,API,True,RunKeeper,"Thu, 17 Aug 2017 07:39:37",196,7902.2,outdoor,Cycling,/fitnessActivities/1037973642,-3,Aug,8,2017
284,30.1,API,True,RunKeeper,"Wed, 16 Aug 2017 13:59:11",204,7286.39,outdoor,Cycling,/fitnessActivities/1037634960,-3,Aug,8,2017
285,27.38,API,True,RunKeeper,"Wed, 16 Aug 2017 07:35:52",224,8153.84,outdoor,Cycling,/fitnessActivities/1037346105,-3,Aug,8,2017
286,32.07,API,True,RunKeeper,"Tue, 15 Aug 2017 14:03:50",232,8081.72,outdoor,Cycling,/fitnessActivities/1036914458,-3,Aug,8,2017
287,26.4,API,True,RunKeeper,"Tue, 15 Aug 2017 07:46:56",529,8487.94,outdoor,Walking,/fitnessActivities/1036914450,-3,Aug,8,2017
288,48.37,API,True,RunKeeper,"Sun, 13 Aug 2017 07:05:48",154,2325.85,outdoor,Walking,/fitnessActivities/1035617133,-3,Aug,8,2017
289,69.88,API,True,RunKeeper,"Thu, 10 Aug 2017 14:03:45",561,20301.56,outdoor,Cycling,/fitnessActivities/1034077807,-3,Aug,8,2017
290,22.9,API,True,RunKeeper,"Thu, 10 Aug 2017 07:32:40",197,8014.22,outdoor,Cycling,/fitnessActivities/1033844660,-3,Aug,8,2017
291,31.6,API,True,RunKeeper,"Tue, 8 Aug 2017 14:12:07",202,7164.99,outdoor,Cycling,/fitnessActivities/1032826296,-3,Aug,8,2017
292,25.28,API,True,RunKeeper,"Tue, 8 Aug 2017 07:30:24",209,7925.48,outdoor,Cycling,/fitnessActivities/1032588780,-3,Aug,8,2017
293,199.33,API,True,RunKeeper,"Sat, 5 Aug 2017 08:49:17",1541,57226.15,outdoor,Cycling,/fitnessActivities/1031128223,-3,Aug,8,2017
294,30.07,API,True,RunKeeper,"Fri, 4 Aug 2017 12:54:54",223,7965.25,outdoor,Cycling,/fitnessActivities/1031128218,-3,Aug,8,2017
295,22.32,API,True,RunKeeper,"Fri, 4 Aug 2017 07:23:03",190,7904.25,outdoor,Cycling,/fitnessActivities/1030280431,-3,Aug,8,2017
296,27.9,API,True,RunKeeper,"Thu, 3 Aug 2017 14:09:08",210,7629.62,outdoor,Cycling,/fitnessActivities/1029930455,-3,Aug,8,2017
297,28.22,API,True,RunKeeper,"Thu, 3 Aug 2017 07:08:14",190,7994.05,outdoor,Cycling,/fitnessActivities/1029778961,-3,Aug,8,2017
298,32.32,API,True,RunKeeper,"Sat, 29 Jul 2017 11:54:42",226,7922.92,outdoor,Cycling,/fitnessActivities/1026863594,-3,Jul,7,2017
299,35.87,API,True,RunKeeper,"Sat, 29 Jul 2017 10:50:35",269,9838.77,outdoor,Cycling,/fitnessActivities/1026819944,-3,Jul,7,2017
300,20.95,API,True,RunKeeper,"Fri, 28 Jul 2017 12:02:59",156,5803.37,outdoor,Cycling,/fitnessActivities/1026819932,-3,Jul,7,2017
301,39.77,API,True,RunKeeper,"Fri, 28 Jul 2017 11:06:04",210,6490.58,outdoor,Cycling,/fitnessActivities/1026819908,-3,Jul,7,2017
302,17.95,API,True,RunKeeper,"Wed, 19 Jul 2017 14:01:23",162,6290.56,outdoor,Cycling,/fitnessActivities/1021203036,-3,Jul,7,2017
303,19.68,API,True,RunKeeper,"Wed, 19 Jul 2017 08:01:48",145,6124.24,outdoor,Cycling,/fitnessActivities/1021002525,-3,Jul,7,2017
304,31.23,API,True,RunKeeper,"Tue, 18 Jul 2017 13:37:23",355,6536.45,outdoor,Cycling,/fitnessActivities/1020580118,-3,Jul,7,2017
305,18.32,API,True,RunKeeper,"Tue, 18 Jul 2017 07:59:03",153,6118.28,outdoor,Cycling,/fitnessActivities/1020347025,-3,Jul,7,2017
306,18.83,API,True,RunKeeper,"Fri, 14 Jul 2017 14:25:11",167,6480.68,outdoor,Cycling,/fitnessActivities/1018145883,-3,Jul,7,2017
307,20.6,API,True,RunKeeper,"Fri, 14 Jul 2017 07:58:05",146,6084.11,outdoor,Cycling,/fitnessActivities/1017938379,-3,Jul,7,2017
308,17.25,API,True,RunKeeper,"Thu, 13 Jul 2017 13:05:08",165,5802.84,outdoor,Cycling,/fitnessActivities/1017507282,-3,Jul,7,2017
309,19.58,API,True,RunKeeper,"Thu, 13 Jul 2017 08:01:33",136,6097.11,outdoor,Cycling,/fitnessActivities/1017358634,-3,Jul,7,2017
310,18.55,API,True,RunKeeper,"Wed, 12 Jul 2017 12:51:02",161,6009.38,outdoor,Cycling,/fitnessActivities/1017358623,-3,Jul,7,2017
