,duration,entry_mode,has_path,source,start_time,total_calories,total_distance,tracking_mode,type,uri,utc_offset
115,23.65,API,True,RunKeeper,"Wed, 9 May 2018 07:14:20",203,7956.72,outdoor,Cycling,/fitnessActivities/1161275661,-3
116,35.55,API,True,RunKeeper,"Thu, 3 May 2018 17:35:15",250,8181.55,outdoor,Cycling,/fitnessActivities/1157952472,-3
117,25.28,API,True,RunKeeper,"Thu, 3 May 2018 07:00:40",210,7632.42,outdoor,Cycling,/fitnessActivities/1157940534,-3
118,27.95,API,True,RunKeeper,"Wed, 2 May 2018 14:36:21",203,7045.59,outdoor,Cycling,/fitnessActivities/1157339192,-3
119,25.1,API,True,RunKeeper,"Wed, 2 May 2018 06:58:05",215,7985.31,outdoor,Cycling,/fitnessActivities/1157339184,-3
120,32.9,API,True,RunKeeper,"Mon, 30 Apr 2018 13:22:02",226,5302.58,outdoor,Cycling,/fitnessActivities/1157339174,-3
121,33.55,API,True,RunKeeper,"Fri, 27 Apr 2018 15:17:16",254,9442.59,outdoor,Cycling,/fitnessActivities/1154568046,-3
122,24.03,API,True,RunKeeper,"Fri, 27 Apr 2018 07:54:46",197,7935.38,outdoor,Cycling,/fitnessActivities/1154568043,-3
123,26.37,API,True,RunKeeper,"Wed, 25 Apr 2018 07:51:46",212,7945.72,outdoor,Cycling,/fitnessActivities/1154568038,-3
124,22.0,API,True,RunKeeper,"Tue, 24 Apr 2018 08:00:59",201,7562.14,outdoor,Cycling,/fitnessActivities/1154567966,-3
125,30.18,API,True,RunKeeper,"Mon, 23 Apr 2018 16:51:10",239,7936.7,outdoor,Cycling,/fitnessActivities/1154567964,-3
126,26.75,API,True,RunKeeper,"Mon, 23 Apr 2018 06:54:00",219,7974.47,outdoor,Cycling,/fitnessActivities/1154567961,-3
127,45.68,API,True,RunKeeper,"Thu, 19 Apr 2018 14:34:54",317,8174.73,outdoor,Cycling,/fitnessActivities/1154567958,-3
128,22.7,API,True,RunKeeper,"Thu, 19 Apr 2018 07:42:49",208,7941.44,outdoor,Cycling,/fitnessActivities/1154567954,-3
129,68.93,API,True,RunKeeper,"Wed, 18 Apr 2018 16:08:08",547,19545.6,outdoor,Cycling,/fitnessActivities/1149757907,-3
130,23.32,API,True,RunKeeper,"Thu, 12 Apr 2018 06:46:21",209,7949.06,outdoor,Cycling,/fitnessActivities/1149728366,-3
131,35.3,API,True,RunKeeper,"Wed, 11 Apr 2018 07:49:48",271,8455.65,outdoor,Cycling,/fitnessActivities/1149728356,-3
132,57.98,API,True,RunKeeper,"Tue, 10 Apr 2018 07:28:18",388,8471.11,outdoor,Cycling,/fitnessActivities/1149728343,-3
133,23.63,API,True,RunKeeper,"Wed, 4 Apr 2018 07:25:42",208,7948.05,outdoor,Cycling,/fitnessActivities/1145053973,-3
134,22.98,API,True,RunKeeper,"Tue, 3 Apr 2018 06:56:11",216,7959.96,outdoor,Cycling,/fitnessActivities/1141818663,-3
135,33.68,API,True,RunKeeper,"Thu, 1 Mar 2018 13:10:26",253,8027.36,outdoor,Cycling,/fitnessActivities/1127677094,-3
136,29.8,API,True,RunKeeper,"Thu, 1 Mar 2018 07:44:17",197,8014.31,outdoor,Cycling,/fitnessActivities/1127667589,-3
137,59.85,API,True,RunKeeper,"Wed, 28 Feb 2018 14:50:37",454,11389.79,outdoor,Cycling,/fitnessActivities/1127368438,-3
138,24.9,API,True,RunKeeper,"Wed, 28 Feb 2018 07:22:15",204,7925.7,outdoor,Cycling,/fitnessActivities/1127347772,-3
139,28.72,API,True,RunKeeper,"Tue, 27 Feb 2018 14:34:41",216,7244.52,outdoor,Cycling,/fitnessActivities/1126959887,-3
140,23.27,API,True,RunKeeper,"Tue, 27 Feb 2018 07:43:35",196,7978.21,outdoor,Cycling,/fitnessActivities/1126835458,-3
141,31.0,API,True,RunKeeper,"Fri, 23 Feb 2018 13:20:48",239,7991.67,outdoor,Cycling,/fitnessActivities/1125192554,-3
142,23.08,API,True,RunKeeper,"Fri, 23 Feb 2018 08:05:09",193,7504.98,outdoor,Cycling,/fitnessActivities/1125107541,-3
143,63.92,API,True,RunKeeper,"Thu, 22 Feb 2018 13:36:18",402,7898.09,outdoor,Cycling,/fitnessActivities/1124835518,-3
144,31.03,API,True,RunKeeper,"Thu, 22 Feb 2018 07:18:54",254,9229.09,outdoor,Cycling,/fitnessActivities/1124685193,-3
145,30.75,API,True,RunKeeper,"Wed, 21 Feb 2018 14:55:37",219,7546.37,outdoor,Cycling,/fitnessActivities/1124444085,-3
146,23.03,API,True,RunKeeper,"Wed, 21 Feb 2018 07:16:58",197,8007.09,outdoor,Cycling,/fitnessActivities/1124431061,-3
147,37.58,API,True,RunKeeper,"Tue, 20 Feb 2018 13:47:32",272,7844.95,outdoor,Cycling,/fitnessActivities/1123952317,-3
148,22.83,API,True,RunKeeper,"Fri, 16 Feb 2018 07:47:06",195,8037.46,outdoor,Cycling,/fitnessActivities/1123935171,-3
149,51.47,API,True,RunKeeper,"Thu, 8 Feb 2018 15:17:17",359,9941.12,outdoor,Cycling,/fitnessActivities/1118909255,-3
150,51.62,API,True,RunKeeper,"Wed, 7 Feb 2018 15:14:37",365,10799.88,outdoor,Cycling,/fitnessActivities/1118528896,-3
151,24.75,API,True,RunKeeper,"Wed, 7 Feb 2018 07:41:23",203,7600.19,outdoor,Cycling,/fitnessActivities/1118502558,-3
152,34.18,API,True,RunKeeper,"Tue, 6 Feb 2018 13:40:13",334,7549.84,outdoor,Cycling,/fitnessActivities/1118074772,-3
153,25.32,API,True,RunKeeper,"Tue, 6 Feb 2018 07:53:10",199,8032.22,outdoor,Cycling,/fitnessActivities/1118054368,-3
154,26.77,API,True,RunKeeper,"Mon, 5 Feb 2018 13:32:16",293,6035.03,outdoor,Cycling,/fitnessActivities/1117655052,-3
155,32.85,API,True,RunKeeper,"Fri, 2 Feb 2018 14:27:56",167,5109.99,outdoor,Cycling,/fitnessActivities/1117639277,-3
156,30.92,API,True,RunKeeper,"Fri, 2 Feb 2018 08:14:23",238,7945.1,outdoor,Cycling,/fitnessActivities/1116268653,-3
157,27.85,API,True,RunKeeper,"Thu, 1 Feb 2018 13:16:55",209,7552.54,outdoor,Cycling,/fitnessActivities/1115982955,-3
158,25.55,API,True,RunKeeper,"Thu, 1 Feb 2018 08:02:48",207,7979.75,outdoor,Cycling,/fitnessActivities/1115972706,-3
159,32.42,API,True,RunKeeper,"Wed, 31 Jan 2018 14:03:08",234,7806.02,outdoor,Cycling,/fitnessActivities/1115620196,-3
160,23.88,API,True,RunKeeper,"Wed, 31 Jan 2018 07:52:39",199,8003.53,outdoor,Cycling,/fitnessActivities/1115493046,-3
161,34.05,API,True,RunKeeper,"Tue, 30 Jan 2018 13:10:35",249,8169.14,outdoor,Cycling,/fitnessActivities/1115233031,-3
162,36.42,API,True,RunKeeper,"Tue, 30 Jan 2018 08:10:54",283,9099.31,outdoor,Cycling,/fitnessActivities/1115592218,-3
163,18.62,API,True,RunKeeper,"Thu, 25 Jan 2018 12:57:22",168,4939.8,outdoor,Cycling,/fitnessActivities/1112947147,-3
164,31.47,API,True,RunKeeper,"Thu, 25 Jan 2018 12:06:32",0,0.0,outdoor,Cycling,/fitnessActivities/1112932507,-3
165,31.07,API,True,RunKeeper,"Thu, 25 Jan 2018 07:17:25",266,10187.84,outdoor,Cycling,/fitnessActivities/1112836443,-3
166,27.47,API,True,RunKeeper,"Tue, 23 Jan 2018 14:10:02",209,7161.5,outdoor,Cycling,/fitnessActivities/1112156242,-3
167,32.58,API,True,RunKeeper,"Tue, 23 Jan 2018 07:59:07",258,9063.91,outdoor,Cycling,/fitnessActivities/1112021512,-3
168,30.83,API,True,RunKeeper,"Fri, 19 Jan 2018 14:03:14",215,7576.73,outdoor,Cycling,/fitnessActivities/1110431846,-3
169,23.52,API,True,RunKeeper,"Fri, 19 Jan 2018 08:07:42",189,7958.33,outdoor,Cycling,/fitnessActivities/1110218116,-3
170,23.83,API,True,RunKeeper,"Thu, 18 Jan 2018 07:51:31",193,7648.13,outdoor,Cycling,/fitnessActivities/1109854055,-3
171,35.73,API,True,RunKeeper,"Wed, 17 Jan 2018 15:21:57",262,8479.62,outdoor,Cycling,/fitnessActivities/1109624086,-3
172,23.6,API,True,RunKeeper,"Wed, 17 Jan 2018 07:49:41",195,7927.98,outdoor,Cycling,/fitnessActivities/1109478786,-3
173,54.38,API,True,RunKeeper,"Tue, 16 Jan 2018 16:09:49",355,8759.02,outdoor,Cycling,/fitnessActivities/1109289135,-3
174,23.12,API,True,RunKeeper,"Tue, 16 Jan 2018 08:18:59",208,7933.54,outdoor,Cycling,/fitnessActivities/1109289129,-3
175,35.42,API,True,RunKeeper,"Mon, 15 Jan 2018 17:09:11",260,8460.39,outdoor,Cycling,/fitnessActivities/1109289125,-3
176,24.65,API,True,RunKeeper,"Mon, 15 Jan 2018 07:08:22",194,7809.0,outdoor,Cycling,/fitnessActivities/1109289115,-3
177,48.62,API,True,RunKeeper,"Fri, 12 Jan 2018 12:51:20",322,8737.15,outdoor,Cycling,/fitnessActivities/1109289108,-3
178,24.28,API,True,RunKeeper,"Fri, 12 Jan 2018 07:53:29",190,7893.31,outdoor,Cycling,/fitnessActivities/1107348301,-3
179,44.48,API,True,RunKeeper,"Thu, 11 Jan 2018 13:52:32",285,8416.07,outdoor,Cycling,/fitnessActivities/1107119809,-3
180,25.33,API,True,RunKeeper,"Thu, 11 Jan 2018 07:48:33",196,7983.88,outdoor,Cycling,/fitnessActivities/1106963918,-3
181,96.43,API,True,RunKeeper,"Wed, 10 Jan 2018 13:51:34",635,13083.27,outdoor,Cycling,/fitnessActivities/1106762599,-3
182,24.18,API,True,RunKeeper,"Wed, 10 Jan 2018 08:00:37",198,7996.19,outdoor,Cycling,/fitnessActivities/1106540484,-3
183,23.72,API,True,RunKeeper,"Mon, 8 Jan 2018 08:01:15",203,8005.27,outdoor,Cycling,/fitnessActivities/1107119806,-3
184,151.68,API,True,RunKeeper,"Thu, 28 Dec 2017 07:19:59",1188,41761.12,outdoor,Cycling,/fitnessActivities/1101473884,-3
185,67.32,API,True,RunKeeper,"Fri, 15 Dec 2017 15:32:17",484,11757.01,outdoor,Cycling,/fitnessActivities/1101473873,-3
186,25.85,API,True,RunKeeper,"Fri, 15 Dec 2017 08:42:32",200,7962.25,outdoor,Cycling,/fitnessActivities/1097373760,-3
187,29.53,API,True,RunKeeper,"Thu, 14 Dec 2017 15:00:12",234,7939.11,outdoor,Cycling,/fitnessActivities/1097126436,-3
188,25.13,API,True,RunKeeper,"Thu, 14 Dec 2017 07:50:04",205,7511.08,outdoor,Cycling,/fitnessActivities/1097012016,-3
189,29.07,API,True,RunKeeper,"Wed, 13 Dec 2017 13:23:58",213,7473.01,outdoor,Cycling,/fitnessActivities/1096873285,-3
190,22.25,API,True,RunKeeper,"Wed, 13 Dec 2017 07:40:21",201,7654.77,outdoor,Cycling,/fitnessActivities/1096715927,-3
191,28.77,API,True,RunKeeper,"Thu, 7 Dec 2017 15:14:25",218,7110.53,outdoor,Cycling,/fitnessActivities/1094976617,-3
192,21.82,API,True,RunKeeper,"Thu, 7 Dec 2017 07:36:00",184,7613.46,outdoor,Cycling,/fitnessActivities/1094835049,-3
