id,district,count
1,Barro Vermelho,1
2,Lagoa Nova,9
3,Lagoa Seca,3
0,,27
1,Lagoa Nova,4
2,Lagoa Seca,1
0,Barro Vermelho,2
1,Lagoa Nova,25
2,Lagoa Seca,4
3,Redinha,1
0,,9
1,Lagoa Nova,19
2,Lagoa Seca,4
0,,32
0,,3
1,Barro Vermelho,1
2,Lagoa Nova,24
3,Lagoa Seca,3
4,Redinha,1
0,,1
1,Barro Vermelho,1
2,Lagoa Nova,28
3,Lagoa Seca,2
0,,32
0,,17
1,Lagoa Nova,13
2,Lagoa Seca,1
3,Redinha,1
0,Barro Vermelho,2
1,Lagoa Nova,28
2,Lagoa Seca,1
3,Redinha,1
0,,19
1,Lagoa Nova,10
2,Lagoa Seca,2
3,Redinha,1
0,,31
1,Lagoa Nova,1
0,Barro Vermelho,1
1,Lagoa Nova,27
2,Lagoa Seca,3
3,Redinha,1
0,,5
1,Lagoa Nova,27
0,,32
0,,11
1,Barro Vermelho,2
2,Lagoa Nova,17
3,Redinha,2
0,Barro Vermelho,1
1,Lagoa Nova,29
2,Lagoa Seca,2
0,,25
1,Lagoa Nova,6
2,Redinha,1
0,,16
1,Barro Vermelho,1
2,Lagoa Nova,12
3,Lagoa Seca,1
4,Redinha,2
0,Barro Vermelho,1
1,Lagoa Nova,27
2,Lagoa Seca,3
3,Redinha,1
0,,20
1,Barro Vermelho,2
2,Lagoa Nova,8
3,Lagoa Seca,1
4,Redinha,1
0,,28
1,Lagoa Nova,3
2,Lagoa Seca,1
0,Barro Vermelho,2
1,Lagoa Nova,29
2,Lagoa Seca,1
0,,8
1,Barro Vermelho,1
2,Lagoa Nova,18
3,Lagoa Seca,3
4,Redinha,2
0,,32
0,,7
1,Barro Vermelho,2
2,Lagoa Nova,22
3,Lagoa Seca,1
0,Barro Vermelho,1
1,Lagoa Nova,26
2,Lagoa Seca,3
3,Redinha,2
0,,29
1,Lagoa Nova,2
2,Lagoa Seca,1
0,,20
1,Lagoa Nova,10
2,Lagoa Seca,1
3,Redinha,1
0,Barro Vermelho,2
1,Lagoa Nova,28
2,Lagoa Seca,2
0,,16
1,Barro Vermelho,1
2,Lagoa Nova,13
3,Lagoa Seca,1
4,Redinha,1
0,,32
0,,1
1,Barro Vermelho,1
2,Lagoa Nova,27
3,Lagoa Seca,1
4,Redinha,2
0,,3
1,Barro Vermelho,1
2,Lagoa Nova,23
3,Lagoa Seca,4
4,Redinha,1
0,,32
0,,13
1,Barro Vermelho,2
2,Lagoa Nova,17
0,Barro Vermelho,1
1,Lagoa Nova,25
2,Lagoa Seca,5
3,Redinha,1
0,,23
1,Lagoa Nova,9
0,,25
1,Lagoa Nova,6
2,Lagoa Seca,1
0,Barro Vermelho,2
1,Lagoa Nova,28
2,Lagoa Seca,2
0,,11
1,Barro Vermelho,1
2,Lagoa Nova,17
3,Lagoa Seca,1
4,Redinha,2
0,,32
0,,4
1,Lagoa Nova,24
2,Lagoa Seca,2
3,Redinha,2
0,Barro Vermelho,3
1,Lagoa Nova,27
2,Lagoa Seca,2
0,,32
0,,13
1,Lagoa Nova,11
2,Lagoa Seca,8
0,Barro Vermelho,2
1,Lagoa Nova,10
2,Lagoa Seca,17
3,Redinha,3
0,,23
1,Lagoa Nova,6
2,Lagoa Seca,3
0,,23
1,Barro Vermelho,1
2,Lagoa Nova,5
3,Lagoa Seca,2
4,Redinha,1
0,Barro Vermelho,1
1,Lagoa Nova,11
2,Lagoa Seca,20
0,,13
1,Barro Vermelho,1
2,Lagoa Nova,5
3,Lagoa Seca,12
4,Redinha,1
0,,32
0,,2
1,Barro Vermelho,1
2,Lagoa Nova,10
3,Lagoa Seca,19
0,,2
1,Barro Vermelho,1
2,Lagoa Nova,5
3,Lagoa Seca,23
4,Redinha,1
0,,32
0,,13
1,Lagoa Nova,4
2,Lagoa Seca,14
3,Redinha,1
0,Barro Vermelho,1
1,Lagoa Nova,1
2,Lagoa Seca,30
0,,23
1,Barro Vermelho,1
2,Lagoa Nova,1
3,Lagoa Seca,7
0,,25
1,Lagoa Seca,7
0,Lagoa Nova,4
1,Lagoa Seca,28
0,,11
1,Lagoa Nova,1
2,Lagoa Seca,19
3,Redinha,1
0,,32
0,,5
1,Barro Vermelho,1
2,Lagoa Nova,3
3,Lagoa Seca,23
0,Lagoa Nova,3
1,Lagoa Seca,28
2,Redinha,1
0,,31
1,Lagoa Seca,1
0,,16
1,Lagoa Seca,16
0,Lagoa Nova,2
1,Lagoa Seca,30
0,,20
1,Lagoa Seca,12
0,,26
1,Lagoa Nova,1
2,Lagoa Seca,5
0,Barro Vermelho,1
1,Lagoa Nova,3
2,Lagoa Seca,27
3,Redinha,1
0,,10
1,Lagoa Nova,3
2,Lagoa Seca,19
0,,32
0,,5
1,Barro Vermelho,1
2,Lagoa Seca,26
0,Barro Vermelho,1
1,Lagoa Nova,3
2,Lagoa Seca,27
3,Redinha,1
0,,31
1,Redinha,1
0,,15
1,Barro Vermelho,1
2,Lagoa Nova,2
3,Lagoa Seca,14
0,Lagoa Nova,3
1,Lagoa Seca,29
0,,21
1,Lagoa Nova,1
2,Lagoa Seca,10
0,,26
